season,date,home_team,away_team,home_goals,away_goals,result,target
2018.0,2018-08-10 00:00:00+00:00,Man United,Leicester,2,1,HOME_TEAM,1
2018.0,2018-08-11 00:00:00+00:00,Bournemouth,Cardiff,2,0,HOME_TEAM,1
2018.0,2018-08-11 00:00:00+00:00,Fulham,Crystal Palace,0,2,AWAY_TEAM,2
2018.0,2018-08-11 00:00:00+00:00,Huddersfield,Chelsea,0,3,AWAY_TEAM,2
2018.0,2018-08-11 00:00:00+00:00,Newcastle,Tottenham,1,2,AWAY_TEAM,2
2018.0,2018-08-11 00:00:00+00:00,Watford,Brighton,2,0,HOME_TEAM,1
2018.0,2018-08-11 00:00:00+00:00,Wolves,Everton,2,2,DRAW,0
2018.0,2018-08-12 00:00:00+00:00,Arsenal,Man City,0,2,AWAY_TEAM,2
2018.0,2018-08-12 00:00:00+00:00,Liverpool,West Ham,4,0,HOME_TEAM,1
2018.0,2018-08-12 00:00:00+00:00,Southampton,Burnley,0,0,DRAW,0
2018.0,2018-08-18 00:00:00+00:00,West Ham,Bournemouth,1,2,AWAY_TEAM,2
2018.0,2018-08-18 00:00:00+00:00,Tottenham,Fulham,3,1,HOME_TEAM,1
2018.0,2018-08-18 00:00:00+00:00,Leicester,Wolves,2,0,HOME_TEAM,1
2018.0,2018-08-18 00:00:00+00:00,Chelsea,Arsenal,3,2,HOME_TEAM,1
2018.0,2018-08-18 00:00:00+00:00,Cardiff,Newcastle,0,0,DRAW,0
2018.0,2018-08-18 00:00:00+00:00,Everton,Southampton,2,1,HOME_TEAM,1
2018.0,2018-08-19 00:00:00+00:00,Brighton,Man United,3,2,HOME_TEAM,1
2018.0,2018-08-19 00:00:00+00:00,Burnley,Watford,1,3,AWAY_TEAM,2
2018.0,2018-08-19 00:00:00+00:00,Man City,Huddersfield,6,1,HOME_TEAM,1
2018.0,2018-08-20 00:00:00+00:00,Crystal Palace,Liverpool,0,2,AWAY_TEAM,2
2018.0,2018-08-25 00:00:00+00:00,Southampton,Leicester,1,2,AWAY_TEAM,2
2018.0,2018-08-25 00:00:00+00:00,Wolves,Man City,1,1,DRAW,0
2018.0,2018-08-25 00:00:00+00:00,Liverpool,Brighton,1,0,HOME_TEAM,1
2018.0,2018-08-25 00:00:00+00:00,Bournemouth,Everton,2,2,DRAW,0
2018.0,2018-08-25 00:00:00+00:00,Arsenal,West Ham,3,1,HOME_TEAM,1
2018.0,2018-08-25 00:00:00+00:00,Huddersfield,Cardiff,0,0,DRAW,0
2018.0,2018-08-26 00:00:00+00:00,Fulham,Burnley,4,2,HOME_TEAM,1
2018.0,2018-08-26 00:00:00+00:00,Newcastle,Chelsea,1,2,AWAY_TEAM,2
2018.0,2018-08-26 00:00:00+00:00,Watford,Crystal Palace,2,1,HOME_TEAM,1
2018.0,2018-08-27 00:00:00+00:00,Man United,Tottenham,0,3,AWAY_TEAM,2
2018.0,2018-09-01 00:00:00+00:00,Everton,Huddersfield,1,1,DRAW,0
2018.0,2018-09-01 00:00:00+00:00,Brighton,Fulham,2,2,DRAW,0
2018.0,2018-09-01 00:00:00+00:00,Chelsea,Bournemouth,2,0,HOME_TEAM,1
2018.0,2018-09-01 00:00:00+00:00,Crystal Palace,Southampton,0,2,AWAY_TEAM,2
